time,pos_23.0,pos_24.0,pos_25.0,pos_26.0,pos_27.0,pos_28.0,pos_29.0,pos_30.0,pos_24.5,pos_24.833333333333332,pos_25.166666666666668,pos_25.5
0.0,0.14986425638198853,0.14986425638198853,0.14986425638198853,0.14986425638198853,0.14986424148082733,0.14986425638198853,0.14986427128314972,0.14986425638198853,0.14986425638198853,0.14986425638198853,0.14986425638198853,0.14986425638198853
0.01,0.14821457862854004,0.14821219444274902,0.148209810256958,0.14820745587348938,0.14820507168769836,0.14820273220539093,0.14820042252540588,0.14819805324077606,0.1482110172510147,0.14821021258831024,0.14820942282676697,0.1482086181640625
0.02,0.1457899957895279,0.14578047394752502,0.1457710564136505,0.14576169848442078,0.14575237035751343,0.14574308693408966,0.14573395252227783,0.1457248032093048,0.14577578008174896,0.14577262103557587,0.14576947689056396,0.14576633274555206
0.03,0.14276130497455597,0.14273899793624878,0.14271700382232666,0.14269523322582245,0.14267376065254211,0.14265257120132446,0.1426316797733307,0.1426110565662384,0.14272798597812653,0.14272063970565796,0.14271333813667297,0.14270606637001038
0.04,0.1393323540687561,0.1392923891544342,0.13925327360630035,0.1392149180173874,0.13917741179466248,0.13914081454277039,0.13910508155822754,0.13907022774219513,0.13927273452281952,0.1392597258090973,0.13924682140350342,0.13923397660255432
0.05,0.1357262134552002,0.1356664001941681,0.1356084644794464,0.13555245101451874,0.13549843430519104,0.1354464888572693,0.13539659976959229,0.135348841547966,0.13563716411590576,0.13561797142028809,0.13559897243976593,0.13558019697666168
0.06,0.1321709305047989,0.13209322094917297,0.13201934099197388,0.1319492906332016,0.13188323378562927,0.13182125985622406,0.13176333904266357,0.13170957565307617,0.13205575942993164,0.13203133642673492,0.13200734555721283,0.13198380172252655
0.07,0.1288853883743286,0.12879714369773865,0.12871567904949188,0.1286410391330719,0.12857335805892944,0.1285126954317093,0.12845903635025024,0.12841244041919708,0.12875555455684662,0.12872877717018127,0.12870272994041443,0.12867748737335205
0.08,0.1260663866996765,0.12598080933094025,0.12590603530406952,0.1258421689271927,0.12578922510147095,0.12574715912342072,0.12571588158607483,0.1256953328847885,0.12594205141067505,0.12591774761676788,0.12589462101459503,0.12587274610996246
0.09,0.12387742102146149,0.12381315231323242,0.12376481294631958,0.12373229116201401,0.12371540069580078,0.1237139031291008,0.12372744083404541,0.12375564873218536,0.12378698587417603,0.12377174943685532,0.12375827878713608,0.1237465888261795
0.1,0.12244001030921936,0.1224200427532196,0.1224217638373375,0.12244466692209244,0.12248814851045609,0.12255153805017471,0.12263400107622147,0.1227346658706665,0.12241822481155396,0.12241999804973602,0.12242411077022552,0.12243060767650604
0.11,0.12182768434286118,0.12187739461660385,0.12195450812578201,0.12205785512924194,0.12218615412712097,0.1223379373550415,0.12251163274049759,0.12270556390285492,0.12191261351108551,0.12193980813026428,0.12196993827819824,0.1220029890537262
